FID,publicid,origintime,longitude,latitude,depth,magnitude,magnitudetype,status,phases,type,agency,updatetime,origin_geom
quake.2013p546702,2013p546702,2013-07-22T06:43:09.017,174.2268,-41.6794,15.1953,4.7483,M,reviewed,136,,WEL(GNS_Primary),2013-07-22T06:51:28.041,POINT (174.22676 -41.679431)
quake.2013p546697,2013p546697,2013-07-22T06:40:33.993,174.2488,-41.6142,7.4609,2.7417,M,automatic,36,,WEL(GNS_Primary),2013-07-22T06:42:44.384,POINT (174.2488 -41.614182)
quake.2013p546694,2013p546694,2013-07-22T06:38:52.569,174.3483,-41.6092,9.9219,1.9436,M,automatic,16,,WEL(GNS_Primary),2013-07-22T06:41:53.93,POINT (174.34827 -41.609182)
quake.2013p546683,2013p546683,2013-07-22T06:33:09.131,174.5428,-41.4364,6.1719,1.8169,M,automatic,14,,WEL(GNS_Primary),2013-07-22T06:34:55.344,POINT (174.54278 -41.436418)
quake.2013p546679,2013p546679,2013-07-22T06:30:34.098,174.3233,-41.4537,15.6641,1.6265,M,automatic,11,,WEL(GNS_Primary),2013-07-22T06:32:04.235,POINT (174.32332 -41.453721)
quake.2013p546673,2013p546673,2013-07-22T06:27:40.542,174.4398,-41.5097,5.3516,1.9527,M,automatic,15,,WEL(GNS_Primary),2013-07-22T06:31:08.093,POINT (174.43985 -41.509701)
quake.2013p546670,2013p546670,2013-07-22T06:26:09.387,174.204,-41.6354,13.3203,2.4524,M,automatic,35,,WEL(GNS_Primary),2013-07-22T06:38:55.001,POINT (174.20399 -41.635386)
quake.2013p546667,2013p546667,2013-07-22T06:24:30.708,174.2487,-41.625,5.1172,2.0881,M,automatic,16,,WEL(GNS_Primary),2013-07-22T06:26:30.744,POINT (174.24874 -41.625023)
quake.2013p546659,2013p546659,2013-07-22T06:19:55.255,174.252,-41.4992,5.1172,2.3233,M,automatic,19,,WEL(GNS_Primary),2013-07-22T06:22:53.73,POINT (174.25197 -41.499164)
quake.2013p546654,2013p546654,2013-07-22T06:18:26.676,174.2646,-41.5961,5.0586,3.0529,M,automatic,50,,WEL(GNS_Primary),2013-07-22T06:21:49.276,POINT (174.26459 -41.596086)
quake.2013p546642,2013p546642,2013-07-22T06:11:09.175,174.3688,-41.59,5.0586,2.102,M,automatic,23,,WEL(GNS_Primary),2013-07-22T06:13:12.268,POINT (174.36882 -41.589976)
quake.2013p546640,2013p546640,2013-07-22T06:10:01.693,174.1925,-41.5575,5.3516,1.8958,M,automatic,12,,WEL(GNS_Primary),2013-07-22T06:11:58.165,POINT (174.19247 -41.557471)
quake.2013p546630,2013p546630,2013-07-22T06:04:32.103,174.2411,-41.6142,5.293,2.9156,M,automatic,50,,WEL(GNS_Primary),2013-07-22T06:34:51.414,POINT (174.24109 -41.614163)
quake.2013p546620,2013p546620,2013-07-22T05:59:39.165,174.3274,-41.4787,5.0586,2.0708,M,automatic,23,,WEL(GNS_Primary),2013-07-22T06:02:22.299,POINT (174.32736 -41.478655)
quake.2013p546615,2013p546615,2013-07-22T05:56:54.744,174.3307,-41.5609,10.918,2.8641,M,automatic,37,,WEL(GNS_Primary),2013-07-22T05:59:07.718,POINT (174.33068 -41.560912)
quake.2013p546612,2013p546612,2013-07-22T05:55:12.227,174.2747,-41.6214,5.0586,3.1209,M,automatic,62,,WEL(GNS_Primary),2013-07-22T06:32:55.488,POINT (174.27473 -41.621408)
quake.2013p546610,2013p546610,2013-07-22T05:53:50.413,174.2048,-41.5318,14.3164,1.8074,M,automatic,14,,WEL(GNS_Primary),2013-07-22T05:55:35.616,POINT (174.20477 -41.531766)
quake.2013p546606,2013p546606,2013-07-22T05:51:42.472,174.2035,-41.597,18.4766,2.3145,M,automatic,27,,WEL(GNS_Primary),2013-07-22T05:54:38.098,POINT (174.20354 -41.597002)
quake.2013p546603,2013p546603,2013-07-22T05:50:36.005,174.271,-41.4538,11.9141,2.2272,M,automatic,19,,WEL(GNS_Primary),2013-07-22T05:52:53.71,POINT (174.27099 -41.453847)
quake.2013p546592,2013p546592,2013-07-22T05:44:22.317,174.1485,-41.6915,5.0586,2.2055,M,automatic,22,,WEL(GNS_Primary),2013-07-22T06:30:34.624,POINT (174.14851 -41.691522)
quake.2013p546585,2013p546585,2013-07-22T05:40:47.866,174.4331,-41.5245,10.0391,2.2586,M,automatic,20,,WEL(GNS_Primary),2013-07-22T05:46:27.336,POINT (174.43308 -41.524515)
quake.2013p546581,2013p546581,2013-07-22T05:38:36.139,174.229,-41.6693,13.3789,2.6922,M,automatic,40,,WEL(GNS_Primary),2013-07-22T06:29:31.73,POINT (174.22905 -41.66928)
quake.2013p546576,2013p546576,2013-07-22T05:35:50.226,174.3106,-41.5926,7.4609,2.9206,M,automatic,43,,WEL(GNS_Primary),2013-07-22T06:29:20.576,POINT (174.3106 -41.592643)
quake.2013p546575,2013p546575,2013-07-22T05:35:21.186,174.3746,-41.5345,14.4922,2.7256,M,automatic,24,,WEL(GNS_Primary),2013-07-22T05:39:01.416,POINT (174.37463 -41.534472)
quake.2013p546558,2013p546558,2013-07-22T05:26:13.924,174.3631,-41.5498,13.3789,3.1241,M,automatic,53,,WEL(GNS_Primary),2013-07-22T06:27:31.26,POINT (174.36314 -41.549773)
quake.2013p546549,2013p546549,2013-07-22T05:21:20.177,174.2956,-41.6003,8.9258,2.7158,M,automatic,47,,WEL(GNS_Primary),2013-07-22T06:26:17.867,POINT (174.29558 -41.600334)
quake.2013p546544,2013p546544,2013-07-22T05:19:19.247,174.4306,-41.5094,8.8672,2.036,M,automatic,19,,WEL(GNS_Primary),2013-07-22T05:21:20.206,POINT (174.43065 -41.50943)
quake.2013p546535,2013p546535,2013-07-22T05:14:07.567,174.3675,-41.5728,6.4648,2.6285,M,automatic,39,,WEL(GNS_Primary),2013-07-22T05:17:42.363,POINT (174.36747 -41.572838)
quake.2013p546533,2013p546533,2013-07-22T05:13:30.785,174.2282,-41.6286,6.9922,2.5323,M,automatic,14,,WEL(GNS_Primary),2013-07-22T05:15:46.147,POINT (174.22815 -41.628589)
quake.2013p546517,2013p546517,2013-07-22T05:04:44.073,174.3551,-41.557,15.8398,3.0198,M,automatic,55,,WEL(GNS_Primary),2013-07-22T06:23:28.426,POINT (174.35514 -41.557044)
quake.2013p546514,2013p546514,2013-07-22T05:02:49.866,174.2532,-41.5951,5.1172,3.0413,M,automatic,27,,WEL(GNS_Primary),2013-07-22T06:22:51.186,POINT (174.25317 -41.595125)
quake.2013p546507,2013p546507,2013-07-22T04:59:23.775,174.8618,-41.3438,5.0293,2.0919,M,automatic,14,,WEL(GNS_Primary),2013-07-22T05:02:25.664,POINT (174.86176 -41.34377)
quake.2013p546496,2013p546496,2013-07-22T04:53:59.19,174.5261,-41.5848,5.1172,2.4782,M,automatic,38,,WEL(GNS_Primary),2013-07-22T06:21:27.569,POINT (174.52608 -41.584801)
quake.2013p546476,2013p546476,2013-07-22T04:43:22.172,174.2736,-41.6132,20.5859,2.6379,M,reviewed,17,,WEL(GNS_Primary),2013-07-22T04:53:06.976,POINT (174.27362 -41.613243)
quake.2013p546474,2013p546474,2013-07-22T04:41:25.882,174.278,-41.6044,5.0586,2.8501,M,automatic,55,,WEL(GNS_Primary),2013-07-22T06:19:06.737,POINT (174.27802 -41.604405)
quake.2013p546470,2013p546470,2013-07-22T04:39:14.107,174.2856,-41.4799,5.0586,1.9801,M,automatic,16,,WEL(GNS_Primary),2013-07-22T04:41:05.844,POINT (174.28561 -41.479927)
quake.2013p546461,2013p546461,2013-07-22T04:34:26.914,174.3309,-41.6144,5.0293,3.1049,M,automatic,36,,WEL(GNS_Primary),2013-07-22T06:17:26.94,POINT (174.33092 -41.614406)
quake.2013p546458,2013p546458,2013-07-22T04:32:53.013,174.3288,-41.6101,5.0586,3.1433,M,automatic,62,,WEL(GNS_Primary),2013-07-22T06:17:31.691,POINT (174.32885 -41.610071)
quake.2013p546453,2013p546453,2013-07-22T04:30:39.11,174.3201,-41.6223,5.0586,2.2904,M,automatic,23,,WEL(GNS_Primary),2013-07-22T04:33:07.675,POINT (174.32011 -41.622325)
quake.2013p546446,2013p546446,2013-07-22T04:26:53.685,174.3246,-41.6129,5.0586,2.5711,M,automatic,46,,WEL(GNS_Primary),2013-07-22T06:16:04.727,POINT (174.32459 -41.612864)
quake.2013p546432,2013p546432,2013-07-22T04:19:18.004,174.1721,-41.5394,13.5547,2.2221,M,automatic,18,,WEL(GNS_Primary),2013-07-22T04:21:28.533,POINT (174.17206 -41.539353)
quake.2013p546425,2013p546425,2013-07-22T04:15:22.573,174.208,-41.7018,17.8906,3.055,M,automatic,52,,WEL(GNS_Primary),2013-07-22T06:14:03.979,POINT (174.20798 -41.701819)
quake.2013p546410,2013p546410,2013-07-22T04:07:17.148,174.2674,-41.6345,5.0586,2.151,M,automatic,15,,WEL(GNS_Primary),2013-07-22T04:09:15.241,POINT (174.26739 -41.634538)
quake.2013p546407,2013p546407,2013-07-22T04:05:44.865,174.648,-41.4975,12.6172,1.7933,M,automatic,11,,WEL(GNS_Primary),2013-07-22T04:07:26.781,POINT (174.64797 -41.497481)
quake.2013p546401,2013p546401,2013-07-22T04:02:38.596,174.2294,-41.6205,5.4102,2.4147,M,automatic,32,,WEL(GNS_Primary),2013-07-22T06:11:26.379,POINT (174.22935 -41.620491)
quake.2013p546398,2013p546398,2013-07-22T04:01:27.319,174.6902,-41.4166,12.0312,1.6779,M,automatic,12,,WEL(GNS_Primary),2013-07-22T04:03:57.336,POINT (174.6902 -41.416578)
quake.2013p546392,2013p546392,2013-07-22T03:58:51.348,174.2779,-41.5846,35.4688,2.3043,M,automatic,17,,WEL(GNS_Primary),2013-07-22T04:01:09.298,POINT (174.27786 -41.58459)
quake.2013p546387,2013p546387,2013-07-22T03:55:56.392,174.2992,-41.5965,5.1172,2.511,M,automatic,14,,WEL(GNS_Primary),2013-07-22T03:59:07.507,POINT (174.29924 -41.596479)
quake.2013p546380,2013p546380,2013-07-22T03:51:29.122,174.8563,-41.3695,5.4395,1.919,M,automatic,21,,WEL(GNS_Primary),2013-07-22T03:53:56.26,POINT (174.85629 -41.36946)
quake.2013p546373,2013p546373,2013-07-22T03:48:32.137,174.265,-41.614,5.0586,2.8634,M,automatic,52,,WEL(GNS_Primary),2013-07-22T06:09:05.771,POINT (174.26502 -41.614033)
quake.2013p546368,2013p546368,2013-07-22T03:44:59.385,174.2441,-41.6405,15.8398,3.8363,M,reviewed,27,,WEL(GNS_Primary),2013-07-22T04:24:06.364,POINT (174.24412 -41.640528)
quake.2013p546365,2013p546365,2013-07-22T03:44:01.395,174.2566,-41.6238,8.8086,3.8525,M,reviewed,24,,WEL(GNS_Primary),2013-07-22T04:26:57.307,POINT (174.25663 -41.623796)
quake.2013p546361,2013p546361,2013-07-22T03:41:08.395,174.3016,-41.5755,5.0586,2.2075,M,automatic,22,,WEL(GNS_Primary),2013-07-22T03:43:11.519,POINT (174.30156 -41.575486)
quake.2013p546355,2013p546355,2013-07-22T03:38:17.393,174.4346,-41.5037,9.1016,1.9054,M,automatic,16,,WEL(GNS_Primary),2013-07-22T03:40:18.709,POINT (174.43456 -41.503707)
quake.2013p546349,2013p546349,2013-07-22T03:34:49.133,174.341,-41.6169,7.2266,2.2222,M,automatic,16,,WEL(GNS_Primary),2013-07-22T03:36:52.988,POINT (174.34096 -41.616891)
quake.2013p546343,2013p546343,2013-07-22T03:31:40.662,174.2237,-41.4925,13.5547,2.3783,M,automatic,23,,WEL(GNS_Primary),2013-07-22T03:33:52.423,POINT (174.2237 -41.492492)
quake.2013p546339,2013p546339,2013-07-22T03:29:37.119,174.3536,-41.5941,5.0586,2.995,M,automatic,30,,WEL(GNS_Primary),2013-07-22T04:34:56.946,POINT (174.35356 -41.594115)
quake.2013p546336,2013p546336,2013-07-22T03:27:52.686,174.3584,-41.6141,15.8984,3.3237,M,automatic,69,,WEL(GNS_Primary),2013-07-22T06:04:31.308,POINT (174.35835 -41.614066)
quake.2013p546331,2013p546331,2013-07-22T03:25:37.784,174.2091,-41.5283,21.6406,2.0523,M,automatic,18,,WEL(GNS_Primary),2013-07-22T03:27:34.011,POINT (174.20913 -41.528349)
quake.2013p546322,2013p546322,2013-07-22T03:20:31.638,174.2394,-41.5526,26.3281,1.9341,M,automatic,11,,WEL(GNS_Primary),2013-07-22T03:23:32.871,POINT (174.23943 -41.552597)
quake.2013p546315,2013p546315,2013-07-22T03:17:09.235,174.2541,-41.61,5.0586,2.4545,M,automatic,37,,WEL(GNS_Primary),2013-07-22T06:01:59.414,POINT (174.25406 -41.609957)
quake.2013p546309,2013p546309,2013-07-22T03:13:29.316,174.2259,-41.6387,5.0586,2.3136,M,automatic,22,,WEL(GNS_Primary),2013-07-22T03:15:37.802,POINT (174.22587 -41.63874)
quake.2013p546305,2013p546305,2013-07-22T03:12:02.554,174.5825,-41.5031,18.7109,2.2499,M,automatic,14,,WEL(GNS_Primary),2013-07-22T03:13:41.243,POINT (174.5825 -41.503059)
quake.2013p546300,2013p546300,2013-07-22T03:08:49.764,174.3816,-41.5449,8.6914,2.5962,M,automatic,47,,WEL(GNS_Primary),2013-07-22T06:00:43.009,POINT (174.38158 -41.544894)
quake.2013p546293,2013p546293,2013-07-22T03:05:32.797,174.3127,-41.526,13.5547,2.3075,M,automatic,16,,WEL(GNS_Primary),2013-07-22T03:08:10.848,POINT (174.3127 -41.525976)
quake.2013p546284,2013p546284,2013-07-22T03:00:29.898,174.1258,-41.6114,12.6172,2.2857,M,automatic,17,,WEL(GNS_Primary),2013-07-22T03:02:48.562,POINT (174.12581 -41.611399)
quake.2013p546278,2013p546278,2013-07-22T02:57:05.876,174.2253,-41.6894,8.8672,2.7114,M,automatic,33,,WEL(GNS_Primary),2013-07-22T05:58:11.878,POINT (174.22528 -41.689397)
quake.2013p546276,2013p546276,2013-07-22T02:55:56.868,174.3172,-41.537,5.1172,2.2149,M,automatic,17,,WEL(GNS_Primary),2013-07-22T02:57:56.781,POINT (174.31725 -41.536953)
quake.2013p546268,2013p546268,2013-07-22T02:51:41.313,174.2967,-41.4671,5.1172,2.0118,M,automatic,13,,WEL(GNS_Primary),2013-07-22T02:53:35.908,POINT (174.29673 -41.467117)
quake.2013p546258,2013p546258,2013-07-22T02:46:40.528,174.2145,-41.6582,10.2734,3.5025,M,automatic,68,,WEL(GNS_Primary),2013-07-22T05:56:26.049,POINT (174.21448 -41.658217)
quake.2013p546255,2013p546255,2013-07-22T02:45:04.807,174.369,-41.6152,5.1172,2.096,M,automatic,16,,WEL(GNS_Primary),2013-07-22T02:47:09.716,POINT (174.36898 -41.615212)
quake.2013p546250,2013p546250,2013-07-22T02:42:29.049,174.2655,-41.6157,5.0586,2.0956,M,automatic,18,,WEL(GNS_Primary),2013-07-22T02:44:28.728,POINT (174.26554 -41.615716)
quake.2013p546244,2013p546244,2013-07-22T02:39:05.827,174.0677,-41.8328,32.8906,2.1713,M,automatic,12,,WEL(GNS_Primary),2013-07-22T02:40:41.022,POINT (174.06768 -41.83284)
quake.2013p546240,2013p546240,2013-07-22T02:36:59.007,174.3003,-41.7202,5.0586,1.9867,M,automatic,12,,WEL(GNS_Primary),2013-07-22T02:39:36.513,POINT (174.30028 -41.720168)
quake.2013p546235,2013p546235,2013-07-22T02:34:22.93,174.2616,-41.6473,13.8477,3.5373,M,reviewed,31,,WEL(GNS_Primary),2013-07-22T04:19:03.074,POINT (174.26164 -41.647299)
quake.2013p546233,2013p546233,2013-07-22T02:33:06.697,174.3912,-41.5475,9.5703,3.4725,M,automatic,36,,WEL(GNS_Primary),2013-07-22T05:53:22.759,POINT (174.39122 -41.547471)
quake.2013p546220,2013p546220,2013-07-22T02:26:31.436,174.2767,-41.4676,7.9883,3.313,M,automatic,59,,WEL(GNS_Primary),2013-07-22T05:52:29.028,POINT (174.27666 -41.467568)
quake.2013p546218,2013p546218,2013-07-22T02:25:01.983,174.2985,-41.5912,11.8555,3.4144,M,automatic,61,,WEL(GNS_Primary),2013-07-22T05:52:10.735,POINT (174.29847 -41.591244)
quake.2013p546214,2013p546214,2013-07-22T02:22:53.842,174.2767,-41.5716,9.3359,2.2376,M,automatic,23,,WEL(GNS_Primary),2013-07-22T02:25:15.264,POINT (174.27669 -41.571627)
quake.2013p546211,2013p546211,2013-07-22T02:21:17.227,174.1792,-41.6772,13.7891,2.4469,M,automatic,24,,WEL(GNS_Primary),2013-07-22T02:24:25.335,POINT (174.17923 -41.677201)
quake.2013p546206,2013p546206,2013-07-22T02:18:52.449,174.3605,-41.5991,5.1172,2.0612,M,automatic,16,,WEL(GNS_Primary),2013-07-22T02:20:56.328,POINT (174.36054 -41.599116)
quake.2013p546192,2013p546192,2013-07-22T02:11:16.56,174.2411,-41.5931,15.4297,2.3218,M,automatic,26,,WEL(GNS_Primary),2013-07-22T02:14:50.339,POINT (174.24113 -41.593103)
quake.2013p546187,2013p546187,2013-07-22T02:08:32.266,174.2774,-41.6244,5.0586,2.1861,M,automatic,13,,WEL(GNS_Primary),2013-07-22T02:10:10.281,POINT (174.27737 -41.624405)
quake.2013p546177,2013p546177,2013-07-22T02:03:34.639,174.2529,-41.6487,6.1133,3.2323,M,automatic,58,,WEL(GNS_Primary),2013-07-22T05:47:50.087,POINT (174.25294 -41.648711)
quake.2013p546171,2013p546171,2013-07-22T02:00:04.093,174.197,-41.6671,5.0586,2.5659,M,automatic,18,,WEL(GNS_Primary),2013-07-22T02:02:04.588,POINT (174.19695 -41.667086)
quake.2013p546168,2013p546168,2013-07-22T01:58:52.649,174.3516,-41.5446,10.0391,2.6502,M,reviewed,10,,WEL(GNS_Primary),2013-07-22T03:40:43.921,POINT (174.35157 -41.544636)
quake.2013p546163,2013p546163,2013-07-22T01:56:28.852,174.1991,-41.5541,5.1758,2.6293,M,automatic,23,,WEL(GNS_Primary),2013-07-22T05:46:13.205,POINT (174.19913 -41.554122)
quake.2013p546159,2013p546159,2013-07-22T01:53:39.88,174.3854,-41.5873,7.6953,2.1207,M,automatic,17,,WEL(GNS_Primary),2013-07-22T01:56:02.248,POINT (174.3854 -41.587336)
quake.2013p546148,2013p546148,2013-07-22T01:48:33.907,174.3302,-41.564,13.5547,4.6387,M,reviewed,89,,WEL(GNS_Primary),2013-07-22T02:06:38.312,POINT (174.33022 -41.564027)
quake.2013p546130,2013p546130,2013-07-22T01:39:05.761,174.2077,-41.6418,23.9844,2.0966,M,automatic,17,,WEL(GNS_Primary),2013-07-22T01:41:03.249,POINT (174.20767 -41.641751)
quake.2013p546127,2013p546127,2013-07-22T01:36:33.652,174.3724,-41.5494,5.1172,2.1341,M,automatic,17,,WEL(GNS_Primary),2013-07-22T01:39:46.873,POINT (174.37244 -41.549421)
quake.2013p546124,2013p546124,2013-07-22T01:34:53.65,174.2583,-41.6126,5.0586,2.7459,M,automatic,36,,WEL(GNS_Primary),2013-07-22T05:42:06.799,POINT (174.2583 -41.612584)
quake.2013p546121,2013p546121,2013-07-22T01:33:41.434,174.3215,-41.6021,5.1172,2.4186,M,automatic,21,,WEL(GNS_Primary),2013-07-22T01:36:20.781,POINT (174.32154 -41.60214)
quake.2013p546118,2013p546118,2013-07-22T01:31:54.887,174.3959,-41.6318,5.1172,2.0517,M,automatic,17,,WEL(GNS_Primary),2013-07-22T01:35:06.213,POINT (174.39586 -41.63185)
quake.2013p546112,2013p546112,2013-07-22T01:28:34.661,174.4686,-41.609,5.1172,2.2857,M,automatic,12,,WEL(GNS_Primary),2013-07-22T01:30:29.583,POINT (174.46862 -41.608967)
quake.2013p546102,2013p546102,2013-07-22T01:23:51.411,174.3682,-41.9367,5.2344,2.8411,M,automatic,37,,WEL(GNS_Primary),2013-07-22T05:40:21.067,POINT (174.3682 -41.936731)
quake.2013p546099,2013p546099,2013-07-22T01:21:54.115,174.4323,-41.4982,15.5469,2.1017,M,reviewed,14,,WEL(GNS_Primary),2013-07-22T04:02:00.822,POINT (174.43228 -41.498218)
quake.2013p546095,2013p546095,2013-07-22T01:19:25.921,174.3528,-41.5576,17.4219,3.2466,M,automatic,68,,WEL(GNS_Primary),2013-07-22T05:39:30.338,POINT (174.35275 -41.557599)
quake.2013p546092,2013p546092,2013-07-22T01:17:50.129,174.1511,-41.6591,5.0586,2.1963,M,automatic,14,,WEL(GNS_Primary),2013-07-22T01:22:18.47,POINT (174.15106 -41.659064)
quake.2013p546088,2013p546088,2013-07-22T01:15:51.017,174.3102,-41.6162,5.0586,2.1374,M,automatic,17,,WEL(GNS_Primary),2013-07-22T01:18:08.457,POINT (174.31021 -41.616195)
quake.2013p546082,2013p546082,2013-07-22T01:12:37.291,174.296,-41.6706,5.1172,2.2078,M,automatic,19,,WEL(GNS_Primary),2013-07-22T01:14:42.985,POINT (174.29601 -41.670621)
quake.2013p546077,2013p546077,2013-07-22T01:10:17.645,174.1778,-41.6354,5.8203,2.7447,M,automatic,40,,WEL(GNS_Primary),2013-07-22T05:37:48.224,POINT (174.17775 -41.635449)
quake.2013p546072,2013p546072,2013-07-22T01:07:31.753,174.2681,-41.5881,13.7891,3.1476,M,automatic,53,,WEL(GNS_Primary),2013-07-22T05:37:15.477,POINT (174.2681 -41.588057)
quake.2013p546062,2013p546062,2013-07-22T01:02:18.396,174.2711,-41.5988,9.9805,2.5185,M,automatic,32,,WEL(GNS_Primary),2013-07-22T05:35:35.711,POINT (174.27114 -41.598781)
quake.2013p546053,2013p546053,2013-07-22T00:57:12.208,174.2273,-41.6444,16.6016,2.0121,M,reviewed,11,,WEL(GNS_Primary),2013-07-22T04:16:04.839,POINT (174.22734 -41.644414)
quake.2013p546042,2013p546042,2013-07-22T00:52:17.122,174.4242,-41.517,17.9492,3.1709,M,automatic,63,,WEL(GNS_Primary),2013-07-22T05:33:47.652,POINT (174.42417 -41.516955)
quake.2013p546040,2013p546040,2013-07-22T00:50:23.944,174.2919,-41.5838,5.1172,2.1817,M,automatic,14,,WEL(GNS_Primary),2013-07-22T00:52:29.811,POINT (174.29186 -41.583751)
quake.2013p546032,2013p546032,2013-07-22T00:45:57.78,174.2814,-41.529,5.0586,2.6454,M,automatic,43,,WEL(GNS_Primary),2013-07-22T05:32:24.526,POINT (174.28144 -41.529018)
quake.2013p546030,2013p546030,2013-07-22T00:44:50.349,174.457,-41.6249,28.4375,2.1803,M,automatic,15,,WEL(GNS_Primary),2013-07-22T00:46:43.055,POINT (174.45705 -41.624891)
quake.2013p546024,2013p546024,2013-07-22T00:41:42.069,174.3987,-41.5542,5.0586,2.0996,M,automatic,22,,WEL(GNS_Primary),2013-07-22T05:31:31.684,POINT (174.39872 -41.554156)
quake.2013p546019,2013p546019,2013-07-22T00:39:05.534,174.3222,-41.608,5.1172,2.0511,M,automatic,13,,WEL(GNS_Primary),2013-07-22T00:40:56.012,POINT (174.32222 -41.607999)
quake.2013p546009,2013p546009,2013-07-22T00:33:49.653,174.3786,-41.6551,7.5781,2.1024,M,automatic,11,,WEL(GNS_Primary),2013-07-22T00:35:43.393,POINT (174.37857 -41.655113)
quake.2013p546002,2013p546002,2013-07-22T00:30:14.441,174.2058,-41.6542,10.1975,2.8237,M,reviewed,21,,WEL(GNS_Primary),2013-07-22T04:46:12.364,POINT (174.20582 -41.654208)
quake.2013p545999,2013p545999,2013-07-22T00:28:20.849,174.3638,-41.5767,5.1172,2.102,M,automatic,19,,WEL(GNS_Primary),2013-07-22T00:30:40.163,POINT (174.36382 -41.576692)
quake.2013p545985,2013p545985,2013-07-22T00:20:57.723,174.0914,-41.7576,15.0375,3.8405,M,reviewed,50,,WEL(GNS_Primary),2013-07-22T03:37:21.113,POINT (174.09143 -41.757624)
quake.2013p545982,2013p545982,2013-07-22T00:19:41.941,174.3562,-41.6073,12.8516,2.4769,M,automatic,28,,WEL(GNS_Primary),2013-07-22T00:22:06.098,POINT (174.35625 -41.607331)
quake.2013p545967,2013p545967,2013-07-22T00:12:18.016,174.245,-41.5465,9.1016,2.4519,M,automatic,25,,WEL(GNS_Primary),2013-07-22T00:14:32.128,POINT (174.24496 -41.546503)
quake.2013p545959,2013p545959,2013-07-22T00:07:18.282,174.2489,-41.619,5.0586,2.3763,M,automatic,29,,WEL(GNS_Primary),2013-07-22T05:24:54.921,POINT (174.24886 -41.61898)
quake.2013p545950,2013p545950,2013-07-22T00:02:31.898,174.2566,-41.6761,15.6641,3.415,M,automatic,67,,WEL(GNS_Primary),2013-07-22T05:24:22.525,POINT (174.25659 -41.676136)
quake.2013p545945,2013p545945,2013-07-22T00:00:00.63,174.1998,-41.6171,5.0586,2.6096,M,automatic,43,,WEL(GNS_Primary),2013-07-22T05:23:39.618,POINT (174.19977 -41.617119)
quake.2013p545941,2013p545941,2013-07-21T23:57:40.444,174.2538,-41.6118,5.1172,2.3296,M,automatic,24,,WEL(GNS_Primary),2013-07-22T00:01:41.865,POINT (174.25378 -41.611825)
quake.2013p545936,2013p545936,2013-07-21T23:55:04.199,174.2538,-41.6275,5.0586,2.2902,M,automatic,26,,WEL(GNS_Primary),2013-07-22T05:22:37.146,POINT (174.25378 -41.627465)
quake.2013p545909,2013p545909,2013-07-21T23:40:41.754,174.2653,-41.6019,5.0586,2.9871,M,automatic,54,,WEL(GNS_Primary),2013-07-22T05:20:03.793,POINT (174.26527 -41.601945)
quake.2013p545900,2013p545900,2013-07-21T23:35:52.027,174.2331,-41.6732,13.9648,4.6784,M,reviewed,109,,WEL(GNS_Primary),2013-07-21T23:48:03.13,POINT (174.2331 -41.673153)
